country,state,city,station,last_update,latitude,longitude,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2
India,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-05-09 17:00:00,16.5150833,80.5181667,13.0,5.0,28.0,45.0,61.0,32.0,6.0
India,Andhra Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",2026-05-09 17:00:00,14.675886,77.593027,28.0,3.0,17.0,38.0,70.0,64.0,12.0
India,Andhra Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",2026-05-09 17:00:00,13.20488,79.097889,17.0,8.0,34.0,35.0,,,26.0
India,Andhra Pradesh,Eluru,"District Court, Eluru - APPCB",2026-05-09 17:00:00,16.711754,81.092095,22.0,3.0,18.0,37.0,53.0,50.0,9.0
India,Andhra Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",2026-05-09 17:00:00,16.316553,80.413302,22.0,7.0,33.0,35.0,60.0,56.0,12.0
India,Andhra Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",2026-05-09 17:00:00,14.465052,78.824187,16.0,3.0,22.0,41.0,63.0,69.0,16.0
India,Andhra Pradesh,Kakinada,"Rama Rao Peta, Kakinada - APPCB",2026-05-09 17:00:00,16.962488,82.229513,13.0,4.0,38.0,47.0,36.0,14.0,12.0
India,Andhra Pradesh,Kurnool,"Sita Rama Nagar, Kurnool - APPCB",2026-05-09 17:00:00,15.83411,78.028546,10.0,5.0,30.0,30.0,41.0,41.0,11.0
India,Andhra Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",2026-05-09 17:00:00,16.186555,81.13219,12.0,3.0,30.0,37.0,55.0,49.0,11.0
India,Andhra Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB",2026-05-09 17:00:00,14.438164,79.966814,32.0,6.0,33.0,29.0,59.0,54.0,19.0
India,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2026-05-09 17:00:00,16.9872867,81.7363176,17.0,2.0,8.0,58.0,61.0,35.0,4.0
India,Andhra Pradesh,Srikakulam,"Chinna Bharatham Colony, Srikakulam - APPCB",2026-05-09 17:00:00,18.292191,83.897173,70.0,3.0,28.0,54.0,61.0,45.0,16.0
India,Andhra Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",2026-05-09 17:00:00,13.67,79.35,22.0,3.0,49.0,10.0,40.0,31.0,6.0
India,Andhra Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2026-05-09 17:00:00,13.615387,79.40923,19.0,3.0,32.0,33.0,76.0,50.0,19.0
India,Andhra Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2026-05-09 17:00:00,16.536107,80.594233,32.0,4.0,18.0,33.0,54.0,48.0,11.0
India,Andhra Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",2026-05-09 17:00:00,16.509717,80.612222,33.0,5.0,31.0,38.0,65.0,59.0,13.0
India,Andhra Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",2026-05-09 17:00:00,16.554731,80.64911,18.0,4.0,19.0,37.0,60.0,54.0,11.0
India,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2026-05-09 17:00:00,17.72,83.3,13.0,2.0,65.0,43.0,94.0,65.0,23.0
India,Arunachal Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",2026-05-09 17:00:00,27.103358,93.679645,9.0,1.0,8.0,7.0,27.0,23.0,11.0
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",2026-05-09 17:00:00,26.071318,91.87488,60.0,4.0,8.0,25.0,87.0,102.0,31.0
India,Assam,Guwahati,"IITG, Guwahati - PCBA",2026-05-09 17:00:00,26.2028636,91.70046436,74.0,1.0,2.0,19.0,12.0,12.0,32.0
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2026-05-09 17:00:00,26.10887,91.589544,21.0,6.0,18.0,12.0,27.0,35.0,11.0
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",2026-05-09 17:00:00,26.1875,91.744194,7.0,,,20.0,,,
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",2026-05-09 17:00:00,26.181742,91.78063,11.0,1.0,3.0,13.0,42.0,43.0,13.0
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",2026-05-09 17:00:00,26.349082,92.68449,23.0,5.0,1.0,12.0,59.0,66.0,12.0
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",2026-05-09 17:00:00,26.446912,91.439057,21.0,6.0,15.0,19.0,23.0,32.0,8.0
India,Assam,Silchar,"Tarapur, Silchar - PCBA",2026-05-09 17:00:00,24.82827,92.79525,30.0,1.0,19.0,6.0,50.0,38.0,6.0
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",2026-05-09 17:00:00,26.987634,94.636574,12.0,3.0,10.0,41.0,30.0,20.0,6.0
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",2026-05-09 17:00:00,26.146529,87.454184,28.0,4.0,15.0,40.0,61.0,53.0,20.0
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",2026-05-09 17:00:00,25.5626095,84.663264,57.0,,,8.0,,,
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",2026-05-09 17:00:00,25.42742023,86.13886079,52.0,3.0,9.0,21.0,139.0,84.0,19.0
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",2026-05-09 17:00:00,26.80365,84.51954,32.0,3.0,27.0,24.0,21.0,23.0,13.0
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",2026-05-09 17:00:00,25.251013,86.989001,28.0,4.0,21.0,19.0,,182.0,22.0
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",2026-05-09 17:00:00,25.265194,87.012947,38.0,4.0,18.0,16.0,91.0,127.0,30.0
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",2026-05-09 17:00:00,25.204762,85.51496,33.0,3.0,,2.0,19.0,25.0,20.0
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",2026-05-09 17:00:00,25.7808257,84.7446768,101.0,0.0,1.0,2.0,112.0,92.0,28.0
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",2026-05-09 17:00:00,24.7955,84.9994,12.0,,,28.0,,,
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",2026-05-09 17:00:00,24.792403,84.992416,41.0,1.0,,59.0,105.0,69.0,42.0
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-05-09 17:00:00,24.762518,84.982348,22.0,7.0,25.0,22.0,37.0,33.0,9.0
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",2026-05-09 17:00:00,25.697189,85.2459,23.0,17.0,22.0,36.0,44.0,62.0,5.0
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",2026-05-09 17:00:00,25.560083,87.553265,74.0,1.0,2.0,28.0,32.0,31.0,17.0
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",2026-05-09 17:00:00,26.0881305,87.93840336,41.0,3.0,7.0,33.0,41.0,51.0,7.0
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",2026-05-09 17:00:00,27.308328,84.531742,48.0,1.0,,33.0,89.0,,21.0
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",2026-05-09 17:00:00,26.63086,84.90051,12.0,1.0,3.0,50.0,29.0,28.0,3.0
India,Bihar,Munger,"Town Hall, Munger - BSPCB",2026-05-09 17:00:00,25.376776,86.471523,35.0,3.0,12.0,14.0,87.0,129.0,73.0
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",2026-05-09 17:00:00,26.11442,85.39813,18.0,14.0,17.0,27.0,53.0,48.0,4.0
