city,Record_Count,Mean_AQI,Max_AQI,Min_AQI,Dominant_Bucket
Agartala,1,95.0,95.0,95.0,Severe
Agra,6,55.833333333333336,88.0,34.0,Moderate
Ahmedabad,8,77.375,96.0,51.0,Poor
Ahmednagar,1,50.0,50.0,50.0,Moderate
Aizawl,1,3.0,3.0,3.0,Good
Ajmer,1,63.0,63.0,63.0,Moderate
Akola,1,30.0,30.0,30.0,Good
Alwar,2,79.5,91.0,68.0,Poor
Amaravati,1,61.0,61.0,61.0,Moderate
Ambala,1,86.0,86.0,86.0,Poor
Ambernath,1,73.0,73.0,73.0,Poor
Amravati,2,29.5,32.0,27.0,Good
Amritsar,1,97.0,97.0,97.0,Severe
Anantapur,1,70.0,70.0,70.0,Poor
Angul,1,78.0,78.0,78.0,Poor
Ankleshwar,1,68.0,68.0,68.0,Poor
Araria,1,61.0,61.0,61.0,Moderate
Arrah,1,57.0,57.0,57.0,Moderate
Asansol,4,51.5,78.0,39.0,Moderate
Aurangabad,3,41.666666666666664,44.0,39.0,Good
Baddi,1,112.0,112.0,112.0,Severe
Badlapur,1,34.0,34.0,34.0,Good
Baghpat,1,33.0,33.0,33.0,Good
Bahadurgarh,1,38.0,38.0,38.0,Good
Balasore,1,77.0,77.0,77.0,Poor
Ballabgarh,1,76.0,76.0,76.0,Poor
Banswara,1,67.0,67.0,67.0,Poor
Baran,1,37.0,37.0,37.0,Good
Barbil,1,63.0,63.0,63.0,Moderate
Bareilly,2,37.0,42.0,32.0,Good
Baripada,1,46.0,46.0,46.0,Moderate
Barmer,1,68.0,68.0,68.0,Poor
Barrackpore,1,68.0,68.0,68.0,Poor
Bathinda,1,34.0,34.0,34.0,Good
Beed,1,33.0,33.0,33.0,Good
Begusarai,1,139.0,139.0,139.0,Severe
Belapur,1,46.0,46.0,46.0,Moderate
Bengaluru,9,65.66666666666667,123.0,32.0,Poor
Bettiah,1,32.0,32.0,32.0,Good
Bhagalpur,2,154.5,182.0,127.0,Severe
Bharatpur,1,40.0,40.0,40.0,Good
Bhavnagar,1,63.0,63.0,63.0,Moderate
Bhilai,3,22.0,26.0,20.0,Good
Bhilwara,1,70.0,70.0,70.0,Poor
Bhiwadi,2,92.0,106.0,78.0,Severe
Bhiwandi,1,46.0,46.0,46.0,Moderate
Bhiwani,1,45.0,45.0,45.0,Moderate
Bhopal,3,30.0,37.0,18.0,Good
Bhubaneswar,2,63.5,71.0,56.0,Poor
Bihar Sharif,1,33.0,33.0,33.0,Good
Bikaner,1,100.0,100.0,100.0,Severe
Bilaspur,1,48.0,48.0,48.0,Moderate
Bileipada,1,107.0,107.0,107.0,Severe
Boisar,1,38.0,38.0,38.0,Good
Brajrajnagar,1,90.0,90.0,90.0,Poor
Bulandshahr,1,35.0,35.0,35.0,Good
Bundi,1,49.0,49.0,49.0,Moderate
Byasanagar,1,68.0,68.0,68.0,Poor
Byrnihat,2,52.5,102.0,3.0,Moderate
Chamarajanagar,1,44.0,44.0,44.0,Moderate
Chandigarh,3,34.666666666666664,37.0,32.0,Good
Chandrapur,2,72.0,75.0,69.0,Poor
Charkhi Dadri,1,54.0,54.0,54.0,Moderate
Chennai,7,75.28571428571429,174.0,32.0,Poor
Chhal,1,71.0,71.0,71.0,Poor
Chhapra,1,112.0,112.0,112.0,Severe
Chikkaballapur,1,54.0,54.0,54.0,Moderate
Chikkamagaluru,1,24.0,24.0,24.0,Good
Chittoor,1,35.0,35.0,35.0,Good
Chittorgarh,1,58.0,58.0,58.0,Moderate
Churu,1,79.0,79.0,79.0,Poor
Coimbatore,1,42.0,42.0,42.0,Good
Cuddalore,2,258.5,493.0,24.0,Severe
Cuttack,1,58.0,58.0,58.0,Moderate
Damoh,1,50.0,50.0,50.0,Moderate
Dausa,1,36.0,36.0,36.0,Good
Dehradun,1,44.0,44.0,44.0,Moderate
Delhi,43,59.395348837209305,115.0,27.0,Moderate
Dewas,1,56.0,56.0,56.0,Moderate
Dhanbad,1,103.0,103.0,103.0,Severe
Dharuhera,1,69.0,69.0,69.0,Poor
Dharwad,1,72.0,72.0,72.0,Poor
Dholpur,1,24.0,24.0,24.0,Good
Dhule,1,20.0,20.0,20.0,Good
Dombivli,1,34.0,34.0,34.0,Good
Dungarpur,1,67.0,67.0,67.0,Poor
Durgapur,3,65.33333333333333,71.0,57.0,Poor
Eloor,1,56.0,56.0,56.0,Moderate
Eluru,1,53.0,53.0,53.0,Moderate
Faridabad,3,85.66666666666667,116.0,61.0,Poor
Fatehabad,1,56.0,56.0,56.0,Moderate
Fatehpur Sikri,1,24.0,24.0,24.0,Good
Firozabad,2,49.0,63.0,35.0,Moderate
Gadag,1,80.0,80.0,80.0,Poor
Gajraula,1,62.0,62.0,62.0,Moderate
Gandhinagar,3,52.333333333333336,77.0,15.0,Moderate
Gangtok,1,8.0,8.0,8.0,Good
Gaya,3,56.666666666666664,105.0,28.0,Moderate
Ghaziabad,7,55.142857142857146,88.0,35.0,Moderate
Gorakhpur,1,129.0,129.0,129.0,Severe
Greater Noida,2,78.0,107.0,49.0,Poor
Gummidipoondi,1,99.0,99.0,99.0,Severe
Guntur,1,60.0,60.0,60.0,Moderate
Gurugram,3,72.33333333333333,118.0,40.0,Poor
Guwahati,4,43.0,74.0,20.0,Good
Gwalior,3,67.66666666666667,79.0,51.0,Poor
Hajipur,1,62.0,62.0,62.0,Moderate
Haldia,1,49.0,49.0,49.0,Moderate
Hanumangarh,1,65.0,65.0,65.0,Poor
Hapur,1,34.0,34.0,34.0,Good
Hingoli,1,58.0,58.0,58.0,Moderate
Hisar,1,131.0,131.0,131.0,Severe
Howrah,5,95.8,110.0,75.0,Severe
Hubballi,1,49.0,49.0,49.0,Moderate
Hyderabad,14,61.642857142857146,84.0,20.0,Moderate
Indore,5,45.6,66.0,31.0,Moderate
Jabalpur,3,54.333333333333336,64.0,44.0,Moderate
Jaipur,6,48.0,69.0,34.0,Moderate
Jaisalmer,1,73.0,73.0,73.0,Poor
Jalandhar,1,60.0,60.0,60.0,Moderate
Jalgaon,1,37.0,37.0,37.0,Good
Jalna,1,84.0,84.0,84.0,Poor
Jalore,1,69.0,69.0,69.0,Poor
Jhalawar,1,48.0,48.0,48.0,Moderate
Jhansi,1,34.0,34.0,34.0,Good
Jhunjhunu,1,48.0,48.0,48.0,Moderate
Jind,1,91.0,91.0,91.0,Severe
Jodhpur,5,64.2,80.0,56.0,Poor
Jorapokhar,1,82.0,82.0,82.0,Poor
Kadapa,1,69.0,69.0,69.0,Poor
Kaithal,1,99.0,99.0,99.0,Severe
Kakinada,1,47.0,47.0,47.0,Moderate
Kalaburagi,1,37.0,37.0,37.0,Good
Kalyan,1,60.0,60.0,60.0,Moderate
Kannur,1,78.0,78.0,78.0,Poor
Kanpur,3,47.333333333333336,53.0,39.0,Moderate
Karauli,1,38.0,38.0,38.0,Good
Karnal,1,51.0,51.0,51.0,Moderate
Karwar,1,16.0,16.0,16.0,Good
Kashipur,1,10.0,10.0,10.0,Good
Katihar,1,74.0,74.0,74.0,Poor
Katni,1,34.0,34.0,34.0,Good
Keonjhar,1,42.0,42.0,42.0,Good
Khairthal,1,141.0,141.0,141.0,Severe
Khanna,1,78.0,78.0,78.0,Poor
Khora,1,85.0,85.0,85.0,Poor
Khurja,1,35.0,35.0,35.0,Good
Kishanganj,1,51.0,51.0,51.0,Moderate
Kohima,1,60.0,60.0,60.0,Moderate
Kolhapur,2,27.5,32.0,23.0,Good
Kolkata,7,55.42857142857143,76.0,32.0,Moderate
Korba,2,29.5,34.0,25.0,Good
Kota,3,54.0,55.0,53.0,Moderate
Kunjemura,1,54.0,54.0,54.0,Moderate
Kurnool,1,41.0,41.0,41.0,Good
Kurukshetra,1,60.0,60.0,60.0,Moderate
Latur,1,36.0,36.0,36.0,Good
Lucknow,6,54.833333333333336,74.0,31.0,Moderate
Machilipatnam,1,55.0,55.0,55.0,Moderate
Madikeri,1,23.0,23.0,23.0,Good
Mahad,1,39.0,39.0,39.0,Good
Maihar,1,59.0,59.0,59.0,Moderate
Malegaon,1,85.0,85.0,85.0,Poor
Mandi Gobindgarh,1,84.0,84.0,84.0,Poor
Mandideep,1,54.0,54.0,54.0,Moderate
Mandikhera,1,48.0,48.0,48.0,Moderate
Manesar,1,30.0,30.0,30.0,Good
Manguraha,1,89.0,89.0,89.0,Poor
Mathura,1,49.0,49.0,49.0,Moderate
Meerut,4,40.25,50.0,21.0,Good
Mehsana,1,53.0,53.0,53.0,Moderate
Milupara,1,37.0,37.0,37.0,Good
Mira-Bhayandar,1,35.0,35.0,35.0,Good
Modinagar,1,19.0,19.0,19.0,Good
Moradabad,6,49.166666666666664,67.0,37.0,Moderate
Motihari,1,50.0,50.0,50.0,Moderate
Mumbai,25,42.56,146.0,12.0,Good
Munger,1,129.0,129.0,129.0,Severe
Muzaffarnagar,1,41.0,41.0,41.0,Good
Muzaffarpur,2,50.5,53.0,48.0,Moderate
Mysuru,1,63.0,63.0,63.0,Moderate
Nagaon,1,66.0,66.0,66.0,Poor
Nagaur,1,92.0,92.0,92.0,Severe
Nagpur,4,43.5,49.0,37.0,Moderate
Naharlagun,1,27.0,27.0,27.0,Good
Nalbari,1,32.0,32.0,32.0,Good
Nanded,1,39.0,39.0,39.0,Good
Nandesari,1,51.0,51.0,51.0,Moderate
Narnaul,1,69.0,69.0,69.0,Poor
Nashik,4,35.75,45.0,25.0,Good
Navi Mumbai,5,48.8,75.0,35.0,Moderate
Nayagarh,1,49.0,49.0,49.0,Moderate
Nellore,1,59.0,59.0,59.0,Moderate
Noida,4,51.5,96.0,35.0,Moderate
Pali,1,108.0,108.0,108.0,Severe
Palwal,1,53.0,53.0,53.0,Moderate
Pampore,1,56.0,56.0,56.0,Moderate
Panchgaon,1,92.0,92.0,92.0,Severe
Panchkula,1,50.0,50.0,50.0,Moderate
Panipat,1,101.0,101.0,101.0,Severe
Parbhani,1,34.0,34.0,34.0,Good
Patiala,1,39.0,39.0,39.0,Good
Patna,5,75.2,134.0,44.0,Poor
Pimpri-Chinchwad,7,53.142857142857146,65.0,31.0,Moderate
Pithampur,1,75.0,75.0,75.0,Poor
Pratapgarh,1,56.0,56.0,56.0,Moderate
Prayagraj,3,53.333333333333336,91.0,33.0,Moderate
Puducherry,1,35.0,35.0,35.0,Good
Pune,7,56.714285714285715,71.0,40.0,Moderate
Purnia,1,56.0,56.0,56.0,Moderate
Raebareli,2,80.5,83.0,78.0,Poor
Raipur,4,31.75,56.0,22.0,Good
Rairangpur,1,65.0,65.0,65.0,Poor
Rajamahendravaram,1,61.0,61.0,61.0,Moderate
Rajgir,1,43.0,43.0,43.0,Good
Rajkot,1,43.0,43.0,43.0,Good
