station,Record_Count,Mean_AQI,Max_AQI,AQI_Bucket
"15th Mile-Nongthymmai, Byrnihat -Meghalaya PCB",1,3.0,3.0,Good
"32Bungalows, Bhilai - CECB",1,20.0,20.0,Good
"AIIMS, Raipur - CECB",1,22.0,22.0,Good
"Adarsh Nagar, Jaipur - RSPCB",1,45.0,45.0,Moderate
"Airport Area, Indore - IMC",1,46.0,46.0,Moderate
"Ambazari, Nagpur - MPCB",1,42.0,42.0,Good
"Ambedkar Nagar, Nellore - APPCB",1,59.0,59.0,Moderate
"Amity University, Panchgaon - IITM",1,92.0,92.0,Severe
"Anand Kala Kshetram, Rajamahendravaram - APPCB",1,61.0,61.0,Moderate
"Anand Nagar, Raebareli - UPPCB",1,78.0,78.0,Poor
"Anand Vihar, Delhi - DPCC",1,71.0,71.0,Poor
"Anand Vihar, Hapur - UPPCB",1,34.0,34.0,Good
"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",1,99.0,99.0,Severe
"Ardhali Bazar, Varanasi - UPPCB",1,59.0,59.0,Moderate
"Arumbakkam, Chennai - TNPCB",1,74.0,74.0,Poor
"Arya Nagar, Bahadurgarh - HSPCB",1,38.0,38.0,Good
"Asansol Court Area, Asansol - WBPCB",1,48.0,48.0,Moderate
"Ashok Nagar, Udaipur - RSPCB",1,86.0,86.0,Poor
"Ashok Vihar, Delhi - DPCC",1,106.0,106.0,Severe
"Ashta Vinayak Nagar, Hingoli - MPCB",1,58.0,58.0,Moderate
"Aya Nagar, Delhi - IITM",1,36.0,36.0,Good
"B R Ambedkar University, Lucknow - UPPCB",1,31.0,31.0,Good
"Ballygunge, Kolkata - WBPCB",1,53.0,53.0,Moderate
"Bamboliya, Baran - RSPCB",1,37.0,37.0,Good
"Bandhavgar Colony, Satna - Birla Cement",1,70.0,70.0,Poor
"Bandra Kurla Complex, Mumbai - IITM",1,58.0,58.0,Moderate
"Bandra Kurla Complex, Mumbai - MPCB",1,38.0,38.0,Good
"Bapuji Nagar, Bengaluru - KSPCB",1,43.0,43.0,Good
"Bapunagar, Vadodara - Nexteng Enviro",1,77.0,77.0,Poor
"Bardowali, Agartala - Tripura SPCB",1,95.0,95.0,Severe
"Barsua Iron Ore Mines, Tensa - OSPCB",1,40.0,40.0,Good
"Bata Chowk, Nalbari - PCBA",1,32.0,32.0,Good
"Bawana, Delhi - DPCC",1,48.0,48.0,Moderate
"Belur Math, Howrah - WBPCB",1,75.0,75.0,Poor
"Bhatagaon New ISBT, Raipur - CECB",1,27.0,27.0,Good
"Bhayandar West, Mira-Bhayandar - MPCB",1,35.0,35.0,Good
"Bhelupur, Varanasi - UPPCB",1,112.0,112.0,Severe
"Bhoiwada, Dungarpur - RSPCB",1,67.0,67.0,Poor
"Bhopal Chauraha, Dewas - MPPCB",1,56.0,56.0,Moderate
"Bhosari, Pune - IITM",1,59.0,59.0,Moderate
"Bhumkar Nagar, Pune - IITM",1,59.0,59.0,Moderate
"Bidhannagar, Kolkata - WBPCB",1,43.0,43.0,Good
"Bir, Beed - MPCB",1,33.0,33.0,Good
"Bolinj, Virar - MPCB",1,37.0,37.0,Good
"Bollaram Industrial Area, Hyderabad - TSPCB",1,64.0,64.0,Poor
"Borivali East, Mumbai - IITM",1,29.0,29.0,Good
"Borivali East, Mumbai - MPCB",1,27.0,27.0,Good
"Botanical Garden, Howrah - WBPCB",1,99.0,99.0,Severe
"Buddha Colony, Muzaffarpur - BSPCB",1,53.0,53.0,Moderate
"Buddhi Vihar, Moradabad - UPPCB",1,44.0,44.0,Moderate
